Video_URL,Time,Author,Message
https://www.youtube.com/watch?v=X_dppNer2LE,,@bongcuoi2023,có thể CÓ NGƯỜI MUỐN HẠ BÀ CHỦ TỊCH THÁI
https://www.youtube.com/watch?v=X_dppNer2LE,,@HoangNguyen-vk5in,"ong Ngoc nay biet ma, tren nay ong ay noi the thoi, ong biet nhieu hon minh day"
https://www.youtube.com/watch?v=X_dppNer2LE,,@tienthanhtran3900,Càng ngưyf càng nát
https://www.youtube.com/watch?v=X_dppNer2LE,,@phongnguyen13629,alpha
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,Yamal có ngông cuồng không anh em?
https://www.youtube.com/watch?v=X_dppNer2LE,,@TienNguyen-db6wb,"xồn xồn lên cay cú, định đánh nhau với Thái à :)))"
https://www.youtube.com/watch?v=X_dppNer2LE,,@xuancuongdo9630,"VN suốt ngày vẫn còn dùng các từ ""tác chiến"", ""thù địch"" thì người ta mới nghĩ mình còn chiến tranh đấy"
https://www.youtube.com/watch?v=X_dppNer2LE,,@ucvo1532,anh Ngọc đừng có kiểu nói vậy
https://www.youtube.com/watch?v=X_dppNer2LE,,@khoaangnguyen8248,Ý là Gen X anh em ơi
https://www.youtube.com/watch?v=X_dppNer2LE,,@phongnguyen13629,yamal là gen z mà
https://www.youtube.com/watch?v=X_dppNer2LE,,@AnhKhảiđeptraibodoiqua,Dám làm gì Thailan ?? Đồng minh của USA đó haha
https://www.youtube.com/watch?v=X_dppNer2LE,,@khoaangnguyen8248,Lộn Gen Z ae
https://www.youtube.com/watch?v=X_dppNer2LE,,@MinhDang-iv6rn,hay bỏ giải
https://www.youtube.com/watch?v=X_dppNer2LE,,@duncangaming4694,chính các ông mới đang làm ảnh hưởng đến bộ mặt quốc gia đấy
https://www.youtube.com/watch?v=X_dppNer2LE,,@DungHoang-uf8xy,Tiến nguyễn ơi tiến đẻ ra ở trung quốc à :))
https://www.youtube.com/watch?v=X_dppNer2LE,,@nguyendinh-x4q,"sao , các bạn muốn chiến tranh hay muốn gây thù địch 2 quốc gia , định kích động hận thù dân tộc ak"
https://www.youtube.com/watch?v=X_dppNer2LE,,@ucvo1532,lạy mấy ông toàn tát nước theo mưa
https://www.youtube.com/watch?v=X_dppNer2LE,,@New-ARS1,bóng đá đi hỏi chuyện olympia
https://www.youtube.com/watch?v=X_dppNer2LE,,@DungVuDuc1997,Có thể không biết cờ VN nhưng không thể không biết cờ của TQ được ??
https://www.youtube.com/watch?v=X_dppNer2LE,,@khoaangnguyen8248,"Chuẩn anh ơi, Gen Z sống ""cá tính"" hơn"
